OrderDate,CONF TONIQUE B400ML,GENIFIQUE 13 SERUM B75ML,ADV GEN EYES LIGHT PEARLB20ML
2019-07-01,763.44415,2.3000963,0.0626964
2019-07-02,697.6234,9.829972,0.04343361
2019-07-03,722.53906,4.3466215,0.12115919
2019-07-04,621.7289,7.7129235,0.18779732
2019-07-05,830.4648,3.1090186,0.2550182
2019-07-06,804.21857,2.9474473,0.122882135
2019-07-07,725.73315,1.5190897,0.20747644
2019-07-08,534.9627,8.597487,-0.09959244
2019-07-09,494.31754,2.3373382,0.3101532
2019-07-10,523.18115,2.600683,0.23234682
