OrderDate,GWP,VS
31/5/2016,9756.857143,29247.73586
1/6/2016,12225.76471,5674.037037
2/6/2016,12225.76471,5674.037037
3/6/2016,12225.76471,5674.037037
4/6/2016,12225.76471,5674.037037
5/6/2016,12225.76471,5674.037037
6/6/2016,12225.76471,5674.037037
7/6/2016,12225.76471,5674.037037
8/6/2016,12225.76471,5674.037037
9/6/2016,12225.76471,5674.037037
10/6/2016,12225.76471,5674.037037
11/6/2016,12225.76471,5674.037037
12/6/2016,12225.76471,5674.037037
13/6/2016,12225.76471,5674.037037
14/6/2016,12225.76471,5674.037037
15/6/2016,12225.76471,5674.037037
16/6/2016,12225.76471,5674.037037
17/6/2016,12225.76471,5674.037037
18/6/2016,12225.76471,5674.037037
19/6/2016,12225.76471,5674.037037
20/6/2016,12225.76471,5674.037037
21/6/2016,12225.76471,5674.037037
22/6/2016,12225.76471,5674.037037
23/6/2016,12225.76471,5674.037037
24/6/2016,12225.76471,5674.037037
25/6/2016,12225.76471,5674.037037
26/6/2016,12225.76471,5674.037037
27/6/2016,12225.76471,5674.037037
28/6/2016,12225.76471,5674.037037
29/6/2016,12225.76471,5674.037037
30/6/2016,12225.76471,5674.037037
1/7/2016,43068.23529,5780.062759
2/7/2016,43068.23529,5780.062759
3/7/2016,43068.23529,5780.062759
4/7/2016,43068.23529,5780.062759
5/7/2016,43068.23529,5780.062759
6/7/2016,43068.23529,5780.062759
7/7/2016,43068.23529,5780.062759
8/7/2016,43068.23529,5780.062759
9/7/2016,43068.23529,5780.062759
10/7/2016,43068.23529,5780.062759
11/7/2016,43068.23529,5780.062759
12/7/2016,43068.23529,5780.062759
13/7/2016,43068.23529,5780.062759
14/7/2016,43068.23529,5780.062759
15/7/2016,43068.23529,5780.062759
16/7/2016,43068.23529,5780.062759
17/7/2016,43068.23529,5780.062759
18/7/2016,43068.23529,5780.062759
19/7/2016,43068.23529,5780.062759
20/7/2016,43068.23529,5780.062759
21/7/2016,43068.23529,5780.062759
22/7/2016,43068.23529,5780.062759
23/7/2016,43068.23529,5780.062759
24/7/2016,43068.23529,5780.062759
25/7/2016,43068.23529,5780.062759
26/7/2016,43068.23529,5780.062759
27/7/2016,43068.23529,5780.062759
28/7/2016,43068.23529,5780.062759
29/7/2016,43068.23529,5780.062759
30/7/2016,43068.23529,5780.062759
31/7/2016,43068.23529,5780.062759
1/8/2016,23627,5237.806806
2/8/2016,23627,5237.806806
3/8/2016,23627,5237.806806
4/8/2016,23627,5237.806806
5/8/2016,23627,5237.806806
6/8/2016,23627,5237.806806
7/8/2016,23627,5237.806806
8/8/2016,23627,5237.806806
9/8/2016,23627,5237.806806
10/8/2016,23627,5237.806806
11/8/2016,23627,5237.806806
